comuna_nom;region;election;mujer;party;votop;comuna_dom;year;n
"Aisén";11;2004;0;"UDI";.54;"AISEN";2005;1
"Aisén";11;2004;0;"UDI";.54;"AISEN";2008;2
"Aisén";11;2004;0;"UDI";.54;"AISEN";2007;3
"Aisén";11;2004;0;"UDI";.54;"AISEN";2006;4
"Aisén";11;2008;1;"PS";.48;"AISEN";2009;1
"Aisén";11;2008;1;"PS";.48;"AISEN";2010;2
"Aisén";11;2008;1;"PS";.48;"AISEN";2011;3
"Aisén";11;2012;0;"IND";.44;"AISEN";2012;1
"Algarrobo";5;2004;0;"IND";.51;"ALGARROBO";2008;1
"Algarrobo";5;2004;0;"IND";.51;"ALGARROBO";2006;2
"Algarrobo";5;2004;0;"IND";.51;"ALGARROBO";2007;3
"Algarrobo";5;2004;0;"IND";.51;"ALGARROBO";2005;4
"Algarrobo";5;2008;0;"IND";.41;"ALGARROBO";2009;1
"Algarrobo";5;2008;0;"IND";.41;"ALGARROBO";2010;2
"Algarrobo";5;2008;0;"IND";.41;"ALGARROBO";2011;3
"Algarrobo";5;2012;0;"IND";.57;"ALGARROBO";2012;1
"Alhué";13;2004;1;"IND";.65;"ALHUE";2005;1
"Alhué";13;2004;1;"IND";.65;"ALHUE";2007;2
"Alhué";13;2004;1;"IND";.65;"ALHUE";2008;3
"Alhué";13;2004;1;"IND";.65;"ALHUE";2006;4
"Alhué";13;2008;0;"IND";.46;"ALHUE";2009;1
"Alhué";13;2008;0;"IND";.46;"ALHUE";2010;2
"Alhué";13;2008;0;"IND";.46;"ALHUE";2011;3
"Alhué";13;2012;0;"IND";.55;"ALHUE";2012;1
"Alto BioBio";8;2004;0;"IND";.38;"ALTO BIOBIO";2008;1
"Alto BioBio";8;2004;0;"IND";.38;"ALTO BIOBIO";2005;2
"Alto BioBio";8;2004;0;"IND";.38;"ALTO BIOBIO";2007;3
"Alto BioBio";8;2004;0;"IND";.38;"ALTO BIOBIO";2006;4
"Alto BioBio";8;2008;0;"PPD";.42;"ALTO BIOBIO";2009;1
"Alto BioBio";8;2008;0;"PPD";.42;"ALTO BIOBIO";2010;2
"Alto BioBio";8;2008;0;"PPD";.42;"ALTO BIOBIO";2011;3
"Alto BioBio";8;2012;0;"IND";.57;"ALTO BIOBIO";2012;1
"Alto del Carmen";3;2004;1;"IND";.49;"ALTO DEL CARMEN";2005;1
"Alto del Carmen";3;2004;1;"IND";.49;"ALTO DEL CARMEN";2007;2
"Alto del Carmen";3;2004;1;"IND";.49;"ALTO DEL CARMEN";2006;3
"Alto del Carmen";3;2004;1;"IND";.49;"ALTO DEL CARMEN";2008;4
"Alto del Carmen";3;2008;1;"IND";.47;"ALTO DEL CARMEN";2009;1
"Alto del Carmen";3;2008;1;"IND";.47;"ALTO DEL CARMEN";2010;2
"Alto del Carmen";3;2008;1;"IND";.47;"ALTO DEL CARMEN";2011;3
"Alto del Carmen";3;2012;1;"IND";.26;"ALTO DEL CARMEN";2012;1
"Alto Hospicio";1;2004;0;"UDI";.36;"ALTO HOSPICIO";2005;1
"Alto Hospicio";1;2004;0;"UDI";.36;"ALTO HOSPICIO";2008;2
"Alto Hospicio";1;2004;0;"UDI";.36;"ALTO HOSPICIO";2006;3
"Alto Hospicio";1;2004;0;"UDI";.36;"ALTO HOSPICIO";2007;4
"Alto Hospicio";1;2008;0;"UDI";.65;"ALTO HOSPICIO";2009;1
"Alto Hospicio";1;2008;0;"UDI";.65;"ALTO HOSPICIO";2010;2
"Alto Hospicio";1;2008;0;"UDI";.65;"ALTO HOSPICIO";2011;3
"Alto Hospicio";1;2012;0;"UDI";.6;"ALTO HOSPICIO";2012;1
"Ancud";10;2004;0;"PDC";.57;"ANCUD";2006;1
"Ancud";10;2004;0;"PDC";.57;"ANCUD";2008;2
"Ancud";10;2004;0;"PDC";.57;"ANCUD";2005;3
"Ancud";10;2004;0;"PDC";.57;"ANCUD";2007;4
"Ancud";10;2008;0;"UDI";.5;"ANCUD";2009;1
"Ancud";10;2008;0;"UDI";.5;"ANCUD";2010;2
"Ancud";10;2008;0;"UDI";.5;"ANCUD";2011;3
"Ancud";10;2012;1;"IND";.5;"ANCUD";2012;1
"Andacollo";4;2004;0;"PDC";.5;"ANDACOLLO";2005;1
"Andacollo";4;2004;0;"PDC";.5;"ANDACOLLO";2008;2
"Andacollo";4;2004;0;"PDC";.5;"ANDACOLLO";2007;3
"Andacollo";4;2004;0;"PDC";.5;"ANDACOLLO";2006;4
"Andacollo";4;2008;0;"IND";.58;"ANDACOLLO";2009;1
"Andacollo";4;2008;0;"IND";.58;"ANDACOLLO";2010;2
"Andacollo";4;2008;0;"IND";.58;"ANDACOLLO";2011;3
"Andacollo";4;2012;0;"PS";.6;"ANDACOLLO";2012;1
"Angol";9;2004;0;"IND";.39;"ANGOL";2005;1
"Angol";9;2004;0;"IND";.39;"ANGOL";2006;2
"Angol";9;2004;0;"IND";.39;"ANGOL";2008;3
"Angol";9;2004;0;"IND";.39;"ANGOL";2007;4
"Angol";9;2008;0;"IND";.4;"ANGOL";2009;1
"Angol";9;2008;0;"IND";.4;"ANGOL";2010;2
"Angol";9;2008;0;"IND";.4;"ANGOL";2011;3
"Angol";9;2012;0;"DC";.44;"ANGOL";2012;1
"Antofagasta";2;2004;0;"IND";.59;"ANTOFAGASTA";2007;1
"Antofagasta";2;2004;0;"IND";.59;"ANTOFAGASTA";2005;2
"Antofagasta";2;2004;0;"IND";.59;"ANTOFAGASTA";2008;3
"Antofagasta";2;2004;0;"IND";.59;"ANTOFAGASTA";2006;4
"Antofagasta";2;2008;1;"IND";.51;"ANTOFAGASTA";2009;1
"Antofagasta";2;2008;1;"IND";.51;"ANTOFAGASTA";2010;2
"Antofagasta";2;2008;1;"IND";.51;"ANTOFAGASTA";2011;3
"Antofagasta";2;2012;1;"IND";.48;"ANTOFAGASTA";2012;1
"Antuco";8;2004;0;"PDC";.82;"ANTUCO";2006;1
"Antuco";8;2004;0;"PDC";.82;"ANTUCO";2008;2
"Antuco";8;2004;0;"PDC";.82;"ANTUCO";2007;3
"Antuco";8;2004;0;"PDC";.82;"ANTUCO";2005;4
"Antuco";8;2008;0;"DC";.61;"ANTUCO";2009;1
"Antuco";8;2008;0;"DC";.61;"ANTUCO";2010;2
"Antuco";8;2008;0;"DC";.61;"ANTUCO";2011;3
"Antuco";8;2012;0;"DC";.47;"ANTUCO";2012;1
"Arauco";8;2004;0;"PRSD";.49;"ARAUCO";2005;1
"Arauco";8;2004;0;"PRSD";.49;"ARAUCO";2008;2
"Arauco";8;2004;0;"PRSD";.49;"ARAUCO";2007;3
"Arauco";8;2004;0;"PRSD";.49;"ARAUCO";2006;4
"Arauco";8;2008;0;"IND";.4;"ARAUCO";2009;1
"Arauco";8;2008;0;"IND";.4;"ARAUCO";2010;2
"Arauco";8;2008;0;"IND";.4;"ARAUCO";2011;3
"Arauco";8;2012;0;"IND";.56;"ARAUCO";2012;1
"Arica";1;2004;0;"RN";.45;"ARICA";2007;1
"Arica";1;2004;0;"RN";.45;"ARICA";2008;2
"Arica";1;2004;0;"RN";.45;"ARICA";2006;3
"Arica";1;2004;0;"RN";.45;"ARICA";2005;4
"Arica";1;2008;0;"IND";.44;"ARICA";2009;1
"Arica";1;2008;0;"IND";.44;"ARICA";2010;2
"Arica";1;2008;0;"IND";.44;"ARICA";2011;3
"Arica";1;2012;0;"PRO";.36;"ARICA";2012;1
"Buin";13;2004;0;"PPD";.47;"BUIN";2006;1
"Buin";13;2004;0;"PPD";.47;"BUIN";2005;2
"Buin";13;2004;0;"PPD";.47;"BUIN";2007;3
"Buin";13;2004;0;"PPD";.47;"BUIN";2008;4
"Buin";13;2008;0;"UDI";.54;"BUIN";2009;1
"Buin";13;2008;0;"UDI";.54;"BUIN";2010;2
"Buin";13;2008;0;"UDI";.54;"BUIN";2011;3
"Buin";13;2012;0;"IND";.54;"BUIN";2012;1
"Bulnes";8;2004;0;"PS";.58;"BULNES";2006;1
"Bulnes";8;2004;0;"PS";.58;"BULNES";2005;2
"Bulnes";8;2004;0;"PS";.58;"BULNES";2008;3
"Bulnes";8;2004;0;"PS";.58;"BULNES";2007;4
"Bulnes";8;2008;0;"IND";.35;"BULNES";2009;1
"Bulnes";8;2008;0;"IND";.35;"BULNES";2010;2
"Bulnes";8;2008;0;"IND";.35;"BULNES";2011;3
"Bulnes";8;2012;0;"IND";.51;"BULNES";2012;1
"Cabildo";5;2004;0;"PDC";.56;"CABILDO";2006;1
"Cabildo";5;2004;0;"PDC";.56;"CABILDO";2008;2
"Cabildo";5;2004;0;"PDC";.56;"CABILDO";2007;3
"Cabildo";5;2004;0;"PDC";.56;"CABILDO";2005;4
"Cabildo";5;2008;0;"DC";.48;"CABILDO";2009;1
"Cabildo";5;2008;0;"DC";.48;"CABILDO";2010;2
"Cabildo";5;2008;0;"DC";.48;"CABILDO";2011;3
"Cabildo";5;2012;0;"IND";.44;"CABILDO";2012;1
"Cabrero";8;2004;0;"PDC";.74;"CABRERO";2007;1
"Cabrero";8;2004;0;"PDC";.74;"CABRERO";2006;2
"Cabrero";8;2004;0;"PDC";.74;"CABRERO";2005;3
"Cabrero";8;2004;0;"PDC";.74;"CABRERO";2008;4
"Cabrero";8;2008;0;"DC";.7;"CABRERO";2009;1
"Cabrero";8;2008;0;"DC";.7;"CABRERO";2010;2
"Cabrero";8;2008;0;"DC";.7;"CABRERO";2011;3
"Cabrero";8;2012;0;"IND";.58;"CABRERO";2012;1
"Calama";2;2004;0;"PDC";.46;"CALAMA";2007;1
"Calama";2;2004;0;"PDC";.46;"CALAMA";2008;2
"Calama";2;2004;0;"PDC";.46;"CALAMA";2005;3
"Calama";2;2004;0;"PDC";.46;"CALAMA";2006;4
"Calama";2;2008;0;"IND";.43;"CALAMA";2009;1
"Calama";2;2008;0;"IND";.43;"CALAMA";2010;2
"Calama";2;2008;0;"IND";.43;"CALAMA";2011;3
"Calama";2;2012;0;"IND";.58;"CALAMA";2012;1
"Calbuco";10;2004;0;"PRSD";.58;"CALBUCO";2005;1
"Calbuco";10;2004;0;"PRSD";.58;"CALBUCO";2006;2
"Calbuco";10;2004;0;"PRSD";.58;"CALBUCO";2008;3
"Calbuco";10;2004;0;"PRSD";.58;"CALBUCO";2007;4
"Calbuco";10;2008;0;"PRSD";.52;"CALBUCO";2009;1
"Calbuco";10;2008;0;"PRSD";.52;"CALBUCO";2010;2
"Calbuco";10;2008;0;"PRSD";.52;"CALBUCO";2011;3
"Calbuco";10;2012;0;"PRSD";.51;"CALBUCO";2012;1
"Caldera";3;2004;0;"IND";.63;"CALDERA";2008;1
"Caldera";3;2004;0;"IND";.63;"CALDERA";2007;2
"Caldera";3;2004;0;"IND";.63;"CALDERA";2005;3
"Caldera";3;2004;0;"IND";.63;"CALDERA";2006;4
"Caldera";3;2008;1;"PPD";.54;"CALDERA";2009;1
"Caldera";3;2008;1;"PPD";.54;"CALDERA";2010;2
"Caldera";3;2008;1;"PPD";.54;"CALDERA";2011;3
"Caldera";3;2012;1;"IND";.54;"CALDERA";2012;1
"Calera";5;2004;0;"RN";.48;"CALERA";2005;1
"Calera";5;2004;0;"RN";.48;"CALERA";2007;2
"Calera";5;2004;0;"RN";.48;"CALERA";2006;3
"Calera";5;2004;0;"RN";.48;"CALERA";2008;4
"Calera";5;2008;0;"IND";.54;"CALERA";2009;1
"Calera";5;2008;0;"IND";.54;"CALERA";2010;2
"Calera";5;2008;0;"IND";.54;"CALERA";2011;3
"Calera";5;2012;0;"DC";.61;"CALERA";2012;1
"Calera de Tango";13;2004;0;"IND";.61;"CALERA DE TANGO";2008;1
"Calera de Tango";13;2004;0;"IND";.61;"CALERA DE TANGO";2006;2
"Calera de Tango";13;2004;0;"IND";.61;"CALERA DE TANGO";2007;3
"Calera de Tango";13;2004;0;"IND";.61;"CALERA DE TANGO";2005;4
"Calera de Tango";13;2008;0;"IND";.56;"CALERA DE TANGO";2009;1
"Calera de Tango";13;2008;0;"IND";.56;"CALERA DE TANGO";2010;2
"Calera de Tango";13;2008;0;"IND";.56;"CALERA DE TANGO";2011;3
"Calera de Tango";13;2012;0;"IND";.57;"CALERA DE TANGO";2012;1
"Calle Larga";5;2004;0;"UDI";.49;"CALLE LARGA";2006;1
"Calle Larga";5;2004;0;"UDI";.49;"CALLE LARGA";2008;2
"Calle Larga";5;2004;0;"UDI";.49;"CALLE LARGA";2007;3
"Calle Larga";5;2004;0;"UDI";.49;"CALLE LARGA";2005;4
"Calle Larga";5;2008;0;"PS";.46;"CALLE LARGA";2009;1
"Calle Larga";5;2008;0;"PS";.46;"CALLE LARGA";2010;2
"Calle Larga";5;2008;0;"PS";.46;"CALLE LARGA";2011;3
"Calle Larga";5;2012;0;"PS";.7;"CALLE LARGA";2012;1
"Camarones";1;2004;1;"PDC";.63;"CAMARONES";2007;1
"Camarones";1;2004;1;"PDC";.63;"CAMARONES";2006;2
"Camarones";1;2004;1;"PDC";.63;"CAMARONES";2005;3
"Camarones";1;2004;1;"PDC";.63;"CAMARONES";2008;4
"Camarones";1;2008;0;"IND";.3;"CAMARONES";2009;1
"Camarones";1;2008;0;"IND";.3;"CAMARONES";2010;2
"Camarones";1;2008;0;"IND";.3;"CAMARONES";2011;3
"Camarones";1;2012;0;"IND";.45;"CAMARONES";2012;1
"Camiña";1;2004;0;"RN";.59;"CAMIÑA";2005;1
"Camiña";1;2004;0;"RN";.59;"CAMIÑA";2007;2
"Camiña";1;2004;0;"RN";.59;"CAMIÑA";2006;3
"Camiña";1;2004;0;"RN";.59;"CAMIÑA";2008;4
"Camiña";1;2008;0;"RN";.73;"CAMIÑA";2009;1
"Camiña";1;2008;0;"RN";.73;"CAMIÑA";2010;2
"Camiña";1;2008;0;"RN";.73;"CAMIÑA";2011;3
"Camiña";1;2012;0;"RN";.53;"CAMIÑA";2012;1
"Canela";4;2004;0;"PC";.52;"CANELA";2007;1
"Canela";4;2004;0;"PC";.52;"CANELA";2006;2
"Canela";4;2004;0;"PC";.52;"CANELA";2005;3
"Canela";4;2004;0;"PC";.52;"CANELA";2008;4
"Canela";4;2008;0;"IND";.5;"CANELA";2009;1
"Canela";4;2008;0;"IND";.5;"CANELA";2010;2
"Canela";4;2008;0;"IND";.5;"CANELA";2011;3
"Canela";4;2012;0;"IND";.5;"CANELA";2012;1
"Carahue";9;2004;0;"UDI";.53;"CARAHUE";2006;1
"Carahue";9;2004;0;"UDI";.53;"CARAHUE";2008;2
"Carahue";9;2004;0;"UDI";.53;"CARAHUE";2007;3
"Carahue";9;2004;0;"UDI";.53;"CARAHUE";2005;4
"Carahue";9;2008;0;"UDI";.49;"CARAHUE";2009;1
"Carahue";9;2008;0;"UDI";.49;"CARAHUE";2010;2
"Carahue";9;2008;0;"UDI";.49;"CARAHUE";2011;3
"Carahue";9;2012;0;"PRSD";.59;"CARAHUE";2012;1
"Cartagena";5;2004;0;"IND";.34;"CARTAGENA";2005;1
"Cartagena";5;2004;0;"IND";.34;"CARTAGENA";2006;2
"Cartagena";5;2004;0;"IND";.34;"CARTAGENA";2008;3
"Cartagena";5;2004;0;"IND";.34;"CARTAGENA";2007;4
"Cartagena";5;2008;0;"IND";.42;"CARTAGENA";2009;1
"Cartagena";5;2008;0;"IND";.42;"CARTAGENA";2010;2
"Cartagena";5;2008;0;"IND";.42;"CARTAGENA";2011;3
"Cartagena";5;2012;0;"IND";.52;"CARTAGENA";2012;1
"Casablanca";5;2004;0;"PDC";.66;"CASABLANCA";2007;1
