codigo;municipio;educasistencia;educretirobasica;educretiromedia;educmatricula;year;saludtotal;saludpersonal;saludpersporcentaje;saludfunc;saludfuncporcentaje;saludinversion;saludinvporcentaje;saludcapacit;saludcapacitporcentaje;saludtotalpc;eductotal;educnacional;educsubvencion;educmineduc;educmunic;educmunicporcentaje;educmuncipgastoporcentaje;mujeresindigente;mujerespobreza;mujeresfuncionarias;mujeresfuncprofes;mujeresdirectivo;pobreza;dom_comuna;urb;rur;dens;region;condom;usingcont
1401;"POZO ALMONTE";86.57;1.15;4.82;2644;2006;472785;296533;69.03;132832;30.92;203;.05;30;.01;"53";1833532;1833532;1442498;78.67;0;0;0;57.755;78.235;52.066;4.502;.69;8.882857;"POZO ALMONTE";61.64;38.36;"1.04";1;.5549875;.638362
1402;"CAMIÑA";94.88;1.64;0;254;2006;62879;41059;65.3;21820;34.7;0;0;0;0;"Costo Fijo";346671;297240;288406;83.19;49431;14.26;4.52;88.82667;97.75667;57.896;4;0;15.58;"CAMIÑA";0;100;"0.52";1;.5549875;.638362
1107;"ALTO HOSPICIO";83.46;.66;.26;762;2006;1258924;918845;72.99;284165;22.57;55914;4.44;0;0;"30";506449;399572;365686;72.21;106877;21.1;3.02;73.32166;88.5;44.63;11.792;10.104;21.10857;"ALTO HOSPICIO";100;0;"127";1;.5549875;.638362
1405;"PICA";89.99;1.53;3.85;769;2006;260389;213237;81.89;47152;18.11;0;0;0;0;"Costo Fijo";968111;538111;484502;50.05;430000;44.42;24.98;51.96333;73.355;51.35;16.444;4.444;11.99429;"PICA";75.55;24.45;"1.3";1;.5549875;.638362
1404;"HUARA";89.91;.31;2.33;456;2006;201501;156124;77.48;36887;18.31;8490;4.21;311;.2;"Costo Fijo";624522;482022;463336;74.19;142500;22.82;12.76;70.65;86.88834;26.045;9.523334;5.556667;12.09429;"HUARA";0;100;"0.29";1;.5549875;.638362
1403;"COLCHANE";94.89;0;0;176;2006;93833;63567;67.74;30266;32.26;0;0;350;.55;"Costo Fijo";278291;210191;201325;72.34;68100;24.47;9.49;99.61166;100;27.556;46.666;25;44.91143;"COLCHANE";0;100;"0.41";1;.5549875;.638362
1101;"IQUIQUE";87.4;1.6;4.92;17471;2006;3752495;2437938;76.3;652671;20.43;104494;3.27;13254;.54;"22";9526134;9321134;8273759;86.85;205000;2.15;1.08;56.37167;75.63;49.252;20.354;4.676;10.24286;"IQUIQUE";98.24;1.76;"80.24";1;.5549875;.638362
1401;"POZO ALMONTE";87.15;1.47;8.02;2631;2007;537904;326647;65.39;156020;31.23;16900;3.38;125;.04;"58";1850304;1806918;1581539;85.47;43386;2.34;1.11;58.8;75.18;52.066;4.502;.69;8.882857;"POZO ALMONTE";60.6;39.4;"1.09";1;.5295837;.660557
1405;"PICA";88.23;1.78;6.82;807;2007;280150;241737;86.29;38413;13.71;0;0;0;0;"Costo Fijo";1232572;662995;557584;45.24;569577;46.21;27.53;56.1;71.04;51.35;16.444;4.444;11.99429;"PICA";75.63;24.37;"1.44";1;.5295837;.660557
1107;"ALTO HOSPICIO";82.51;.48;.25;772;2007;1557824;1134107;72.8;368543;23.66;55174;3.54;0;0;"31";564776;514776;497344;88.06;50000;8.85;1.18;70.16;86.14;44.63;11.792;10.104;21.10857;"ALTO HOSPICIO";100;0;"134.15";1;.5295837;.660557
