COMUNA;COMUNA CODE (PRE 1999);COMUNA CODE (2000-2008);COMUNA CODE (2008-2010);COMUNA CODE (2010-);REGION CODE (2000-2008);REGION CODE (2008-);;;;;;;;;;;;;
Arica;201;1201;15101;15101;1;15;;;;;;;;;;;;;
Camarones;202;1202;15102;15102;1;15;;;;;;;;;;;;;
Putre;205;1301;15201;15201;1;15;;;;;;;;;;;;;
General Lagos;206;1302;15202;15202;1;15;;;;;;;;;;;;;
Iquique;210;1101;1101;1101;1;1;;;;;;;;;;;;;
Camiña;212;1102;1402;1402;1;1;;;;;;;;;;;;;
Colchane;213;1103;1403;1403;1;1;;;;;;;;;;;;;
Huara;211;1104;1404;1404;1;1;;;;;;;;;;;;;
Pica;214;1105;1405;1405;1;1;;;;;;;;;;;;;
Pozo Almonte;215;1106;1401;1401;1;1;;;;;;;;;;;;;
Alto Hospicio;210;1107;1107;1107;1;1;;;;;;;;;;;;;
Antofagasta;230;2101;2101;2101;2;2;;;;;;;;;;;;;
Mejillones;231;2102;2102;2102;2;2;;;;;;;;;;;;;
Sierra Gorda;232;2103;2103;2103;2;2;;;;;;;;;;;;;
Taltal;233;2104;2104;2104;2;2;;;;;;;;;;;;;
Calama;225;2201;2201;2201;2;2;;;;;;;;;;;;;
Ollagüe;226;2202;2202;2202;2;2;;;;;;;;;;;;;
San Pedro de Atacama;227;2203;2203;2203;2;2;;;;;;;;;;;;;
Tocopilla;220;2301;2301;2301;2;2;;;;;;;;;;;;;
María Elena;221;2302;2302;2302;2;2;;;;;;;;;;;;;
Copiapó;240;3101;3101;3101;3;3;;;;;;;;;;;;;
Caldera;241;3102;3102;3102;3;3;;;;;;;;;;;;;
Tierra Amarilla;242;3103;3103;3103;3;3;;;;;;;;;;;;;
Chañaral;235;3201;3201;3201;3;3;;;;;;;;;;;;;
Diego de Almagro;236;3202;3202;3202;3;3;;;;;;;;;;;;;
Vallenar;245;3301;3301;3301;3;3;;;;;;;;;;;;;
Alto del Carmen;248;3302;3302;3302;3;3;;;;;;;;;;;;;
Freirina;246;3303;3303;3303;3;3;;;;;;;;;;;;;
Huasco;247;3304;3304;3304;3;3;;;;;;;;;;;;;
La Serena;250;4101;4101;4101;4;4;;;;;;;;;;;;;
Coquimbo;252;4102;4102;4102;4;4;;;;;;;;;;;;;
Andacollo;253;4103;4103;4103;4;4;;;;;;;;;;;;;
La Higuera;251;4104;4104;4104;4;4;;;;;;;;;;;;;
Paiguano;255;4105;4105;4105;4;4;;;;;;;;;;;;;
Vicuña;254;4106;4106;4106;4;4;;;;;;;;;;;;;
Illapel;270;4201;4201;4201;4;4;;;;;;;;;;;;;
Canela;273;4202;4202;4202;4;4;;;;;;;;;;;;;
